info,Район,Тип,Тип.объекта,Комнаты,Этаж,Площадь,Площадь.кухни,Жилая.площадь,Цена,Цена.за.м,Материал.здания,cluster,Год.постройки,Кол.во.подьездов,Перекрытия,Стены,Мусоропровод,Отопление,Газ.плита,Этаж_квартиры,Этажность_дома
Октябрьский_Новостройка_2_13/20_49_64898_Панель,Октябрьский,Квартира,Новостройка,2,13/20,49.0,15.0,19.0,3180000,64898,Панель,1.0,,,,,,,,13.0,20.0
Октябрьский_Новостройка_2_14/20_58_62586_Панель,Октябрьский,Квартира,Новостройка,2,14/20,58.0,10.0,31.0,3630000,62586,Панель,1.0,,,,,,,,14.0,20.0
Калининский_Вторичная_1_6/12_37_112973_Панель,Калининский,Квартира,Вторичная,1,6/12,37.0,9.0,19.0,4180000,112973,Панель,2.0,2017.0,5.0,Железобетонные,Панельные,,Центральное,Нет,6.0,12.0
Калининский_Вторичная_2_7/12_60_100000_Панель,Калининский,Квартира,Вторичная,2,7/12,60.0,14.0,31.0,6000000,100000,Панель,2.0,2017.0,5.0,Железобетонные,Панельные,,Центральное,Нет,7.0,12.0
Калининский_Вторичная_2_7/12_65_86154_Панель,Калининский,Квартира,Вторичная,2,7/12,65.0,14.0,30.0,5600000,86154,Панель,2.0,2017.0,5.0,Железобетонные,Панельные,,Центральное,Нет,7.0,12.0
Калининский_Вторичная_2_9/12_60_98333_Панель,Калининский,Квартира,Вторичная,2,9/12,60.0,,14.0,5900000,98333,Панель,2.0,2017.0,5.0,Железобетонные,Панельные,,Центральное,Нет,9.0,12.0
Заельцовский_Новостройка_2_5/25_57.2_97028_Кирпич,Заельцовский,Квартира,Новостройка,2,5/25,57.2,,,5550000,97028,Кирпич,5.0,,,,,,,,5.0,25.0
Заельцовский_Вторичная_Студия_4/22_29_108621_Монолит,Заельцовский,Квартира,Вторичная,Студия,4/22,29.0,4.0,17.0,3150000,108621,Монолит,6.0,2016.0,2.0,Железобетонные,Смешанные,Есть,Центральное,Нет,4.0,22.0
Заельцовский_Новостройка_1_11/25_32.6_139571_Монолит,Заельцовский,Квартира,Новостройка,1,11/25,32.6,,,4550000,139571,Монолит,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_1_11/25_33_137879_Кирпич,Заельцовский,Квартира,Новостройка,1,11/25,33.0,5.0,,4550000,137879,Кирпич,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_1_11/25_36.6_139344_Кирпич,Заельцовский,Квартира,Новостройка,1,11/25,36.6,5.4,20.4,5100000,139344,Кирпич,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_1_11/25_37_137838_Кирпич,Заельцовский,Квартира,Новостройка,1,11/25,37.0,5.0,,5100000,137838,Кирпич,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_1_13/25_45_126444_Кирпич,Заельцовский,Квартира,Новостройка,1,13/25,45.0,16.0,,5690000,126444,Кирпич,11.0,,,,,,,,13.0,25.0
Заельцовский_Новостройка_1_14/25_48_123958_Кирпич,Заельцовский,Квартира,Новостройка,1,14/25,48.0,17.0,,5950000,123958,Кирпич,11.0,,,,,,,,14.0,25.0
Заельцовский_Новостройка_1_2/25_33_131515_Кирпич,Заельцовский,Квартира,Новостройка,1,2/25,33.0,5.0,,4340000,131515,Кирпич,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_1_2/25_36.4_135714_Монолит,Заельцовский,Квартира,Новостройка,1,2/25,36.4,,,4940000,135714,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_1_2/25_44.5_124494_Кирпич,Заельцовский,Квартира,Новостройка,1,2/25,44.5,16.4,16.2,5540000,124494,Кирпич,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_1_2/25_47.3_122622_Монолит,Заельцовский,Квартира,Новостройка,1,2/25,47.3,,34.4,5800000,122622,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_1_2/25_47.5_122105_Монолит,Заельцовский,Квартира,Новостройка,1,2/25,47.5,17.1,15.9,5800000,122105,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_1_3/25_36.4_137088_Монолит,Заельцовский,Квартира,Новостройка,1,3/25,36.4,,20.4,4990000,137088,Монолит,11.0,,,,,,,,3.0,25.0
Заельцовский_Новостройка_1_3/25_48_121875_Кирпич,Заельцовский,Квартира,Новостройка,1,3/25,48.0,17.0,,5850000,121875,Кирпич,11.0,,,,,,,,3.0,25.0
Заельцовский_Новостройка_1_5/25_32.7_134251_Монолит,Заельцовский,Квартира,Новостройка,1,5/25,32.7,,,4390000,134251,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_1_5/25_36.6_136339_Кирпич,Заельцовский,Квартира,Новостройка,1,5/25,36.6,5.4,20.4,4990000,136339,Кирпич,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_1_5/25_47.5_123158_Кирпич,Заельцовский,Квартира,Новостройка,1,5/25,47.5,16.5,17.9,5850000,123158,Кирпич,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_1_5/25_47.9_122129_Монолит,Заельцовский,Квартира,Новостройка,1,5/25,47.9,17.1,,5850000,122129,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_1_6/25_36.6_136339_Монолит,Заельцовский,Квартира,Новостройка,1,6/25,36.6,,,4990000,136339,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_1_6/25_44.7_125056_Монолит,Заельцовский,Квартира,Новостройка,1,6/25,44.7,,,5590000,125056,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_1_6/25_47.5_123158_Монолит,Заельцовский,Квартира,Новостройка,1,6/25,47.5,,,5850000,123158,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_2_11/25_56_117679_Кирпич,Заельцовский,Квартира,Новостройка,2,11/25,56.0,5.0,,6590000,117679,Кирпич,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_2_11/25_65.2_106595_Кирпич,Заельцовский,Квартира,Новостройка,2,11/25,65.2,15.5,29.8,6950000,106595,Кирпич,11.0,,,,,,,,11.0,25.0
Заельцовский_Новостройка_2_16/25_66_105303_Кирпич,Заельцовский,Квартира,Новостройка,2,16/25,66.0,16.0,,6950000,105303,Кирпич,11.0,,,,,,,,16.0,25.0
Заельцовский_Новостройка_2_2/25_46.9_123667_Монолит,Заельцовский,Квартира,Новостройка,2,2/25,46.9,,34.7,5800000,123667,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_2_2/25_53.9_115955_Кирпич,Заельцовский,Квартира,Новостройка,2,2/25,53.9,5.6,34.4,6250000,115955,Кирпич,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_2_2/25_54.5_116514_Монолит,Заельцовский,Квартира,Новостройка,2,2/25,54.5,,34.3,6350000,116514,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_2_2/25_55.5_116216_Монолит,Заельцовский,Квартира,Новостройка,2,2/25,55.5,,34.3,6450000,116216,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_2_2/25_65.6_103659_Монолит,Заельцовский,Квартира,Новостройка,2,2/25,65.6,,,6800000,103659,Монолит,11.0,,,,,,,,2.0,25.0
Заельцовский_Новостройка_2_25/25_47_129787_Кирпич,Заельцовский,Квартира,Новостройка,2,25/25,47.0,,,6100000,129787,Кирпич,11.0,,,,,,,,25.0,25.0
Заельцовский_Новостройка_2_5/25_47_124468_Монолит,Заельцовский,Квартира,Новостройка,2,5/25,47.0,18.1,,5850000,124468,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_2_5/25_54.8_116606_Монолит,Заельцовский,Квартира,Новостройка,2,5/25,54.8,,,6390000,116606,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_2_5/25_55.7_116517_Монолит,Заельцовский,Квартира,Новостройка,2,5/25,55.7,,,6490000,116517,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_2_5/25_65.8_104711_Монолит,Заельцовский,Квартира,Новостройка,2,5/25,65.8,15.5,,6890000,104711,Монолит,11.0,,,,,,,,5.0,25.0
Заельцовский_Новостройка_2_6/25_54.1_116266_Монолит,Заельцовский,Квартира,Новостройка,2,6/25,54.1,,,6290000,116266,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_2_6/25_54.1_116266_Монолит,Заельцовский,Квартира,Новостройка,2,6/25,54.1,25.6,,6290000,116266,Монолит,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_2_6/25_56_114107_Кирпич,Заельцовский,Квартира,Новостройка,2,6/25,56.0,5.0,,6390000,114107,Кирпич,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_2_6/25_72.6_105372_Кирпич,Заельцовский,Квартира,Новостройка,2,6/25,72.6,6.0,48.2,7650000,105372,Кирпич,11.0,,,,,,,,6.0,25.0
Заельцовский_Новостройка_2_7/25_56_114107_Кирпич,Заельцовский,Квартира,Новостройка,2,7/25,56.0,5.0,,6390000,114107,Кирпич,11.0,,,,,,,,7.0,25.0
Заельцовский_Новостройка_2_7/25_65.7_104871_Кирпич,Заельцовский,Квартира,Новостройка,2,7/25,65.7,15.5,30.0,6890000,104871,Кирпич,11.0,,,,,,,,7.0,25.0
Заельцовский_Новостройка_2_7/25_65.8_104711_Кирпич,Заельцовский,Квартира,Новостройка,2,7/25,65.8,15.5,30.0,6890000,104711,Кирпич,11.0,,,,,,,,7.0,25.0
Заельцовский_Новостройка_2_8/25_55.7_116517_Кирпич,Заельцовский,Квартира,Новостройка,2,8/25,55.7,5.3,34.3,6490000,116517,Кирпич,11.0,,,,,,,,8.0,25.0
